177.618	-795.89	
177.836	-782.58	
178.054	-783.81	
178.271	-603.18	
178.489	-352.51	
178.706	-214.06	
178.924	-77.87	
179.142	92.52	
179.359	82.28	
179.577	-70.71	
179.794	-60.88	
180.012	-80.95	
180.229	-128.05	
180.447	-112.08	
180.664	-42.24	
180.882	-34.66	
181.1	42.34	
181.317	35.99	
181.535	3.02	
181.752	-8.86	
181.969	24.52	
182.187	11.01	
182.404	51.35	
182.622	66.51	
182.839	97.64	
183.057	88.01	
183.274	71.22	
183.492	75.52	
183.709	107.47	
183.926	65.07	
184.144	39.27	
184.361	53.4	
184.579	66.71	
184.796	6.3	
185.013	55.24	
185.231	35.79	
185.448	65.89	
185.666	62.41	
185.883	58.52	
186.1	40.7	
186.317	89.45	
186.535	12.85	
186.752	-4.97	
186.969	59.34	
187.187	130.61	
187.404	50.12	
187.621	162.97	
187.839	191.43	
188.056	132.86	
188.273	51.56	
188.49	144.74	
188.708	81.46	
188.925	123.24	
189.142	143.1	
189.359	129.59	
189.576	77.77	
189.794	64.87	
190.011	29.64	
190.228	39.07	
190.445	39.27	
190.662	118.12	
190.879	99.89	
191.097	63.85	
191.314	81.66	
191.531	101.53	
191.748	-9.68	
191.965	23.71	
192.182	26.78	
192.399	7.32	
192.616	44.39	
192.834	106.03	
193.051	72.04	
193.268	97.43	
193.485	88.01	
193.702	46.03	
193.919	19.4	
194.136	43.16	
194.353	16.95	
194.57	43.78	
194.787	51.97	
195.004	155.39	
195.221	125.69	
195.438	164.61	
195.655	120.16	
195.872	200.65	
196.089	88.42	
196.306	137.37	
196.523	126.72	
196.74	192.66	
196.957	56.88	
197.173	90.67	
197.39	62.21	
197.607	86.58	
197.824	61.59	
198.041	124.06	
198.258	115.04	
198.475	176.07	
198.692	116.68	
198.909	49.51	
199.125	3.23	
199.342	58.52	
199.559	25.34	
199.776	66.51	
199.993	161.33	
200.21	181.6	
200.426	100.09	
200.643	100.71	
200.86	107.47	
201.077	106.44	
201.293	90.06	
201.51	90.06	
201.727	-7.63	
201.944	-81.77	
202.16	-86.27	
202.377	-94.87	
202.594	-102.65	
202.811	-35.28	
203.027	-7.42	
203.244	-63.95	
203.461	-16.64	
203.677	71.63	
203.894	98.66	
204.111	122.83	
204.327	152.11	
204.544	127.54	
204.761	99.28	
204.977	53.81	
205.194	5.48	
205.41	41.73	
205.627	41.93	
205.844	34.76	
206.06	33.13	
206.277	98.25	
206.493	69.17	
206.71	89.85	
206.926	70.4	
207.143	121.19	
207.36	33.95	
207.576	85.76	
207.793	79.41	
208.009	105.01	
208.226	72.24	
208.442	102.96	
208.659	64.46	
208.875	76.75	
209.092	17.56	
209.308	6.5	
209.524	14.49	
209.741	76.95	
209.957	124.26	
210.174	153.34	
210.39	157.23	
210.607	172.8	
210.823	44.39	
211.039	-37.32	
211.256	40.91	
211.472	-5.58	
211.688	26.37	
211.905	110.13	
212.121	111.15	
212.338	43.57	
212.554	97.23	
212.77	60.98	
212.987	57.09	
213.203	128.77	
213.419	164.81	
213.635	124.67	
213.852	109.11	
214.068	77.57	
214.284	1.59	
214.501	19.61	
214.717	43.37	
214.933	86.78	
215.149	30.26	
215.365	19.61	
215.582	-74.6	
215.798	-48.59	
216.014	-61.9	
216.23	-9.68	
216.447	19.81	
216.663	38.04	
216.879	-13.77	
217.095	11.01	
217.311	44.59	
217.527	62.21	
217.743	83.92	
217.96	84.53	
218.176	46.85	
218.392	16.95	
218.608	34.15	
218.824	10.8	
219.04	26.57	
219.256	75.11	
219.472	60.16	
219.688	13.87	
219.904	83.71	
220.12	169.32	
220.336	124.87	
220.552	141.67	
220.768	185.7	
220.984	187.34	
221.2	74.9	
221.416	123.03	
221.632	90.06	
221.848	64.66	
222.064	-10.5	
222.28	27.6	
222.496	-31.79	
222.712	30.05	
222.928	5.48	
223.144	69.58	
223.36	55.65	
223.576	84.12	
223.792	57.7	
224.008	127.54	
224.224	124.06	
224.439	170.95	
224.655	144.13	
224.871	175.66	
225.087	136.96	
225.303	64.87	
225.519	42.34	
225.734	95.18	
225.95	66.71	
226.166	94.56	
226.382	129.18	
226.598	112.59	
226.813	107.67	
227.029	82.89	
227.245	37.43	
227.461	62.41	
227.677	94.77	
227.892	90.88	
228.108	74.7	
228.324	134.09	
228.539	45.41	
228.755	65.89	
228.971	54.63	
229.186	120.16	
229.402	68.76	
229.618	149.66	
229.833	83.3	
230.049	105.21	
230.265	26.16	
230.48	97.23	
230.696	97.43	
230.912	130.81	
231.127	114.02	
231.343	157.85	
231.558	54.63	
231.774	98.87	
231.99	166.04	
232.205	152.73	
232.421	118.94	
232.636	148.63	
232.852	72.65	
233.067	9.16	
233.283	18.99	
233.498	79	
233.714	101.12	
233.929	159.9	
234.145	132.25	
234.36	159.9	
234.576	163.38	
234.791	219.08	
235.007	223.59	
235.222	293.42	
235.438	240.38	
235.653	300.8	
235.868	249.8	
236.084	258.4	
236.299	283.8	
236.515	303.46	
236.73	202.49	
236.945	213.14	
237.161	155.18	
237.376	92.72	
237.592	72.45	
237.807	96.41	
238.022	81.25	
238.238	112.79	
238.453	60.77	
238.668	89.45	
238.883	4.45	
239.099	0.56	
239.314	-59.65	
239.529	-1.28	
239.745	12.03	
239.96	107.47	
240.175	94.56	
240.39	219.29	
240.605	201.47	
240.821	157.85	
241.036	153.96	
241.251	235.06	
241.466	139.21	
241.681	149.25	
241.897	187.75	
242.112	216.21	
242.327	114.23	
242.542	131.84	
242.757	145.76	
242.972	119.35	
243.188	40.91	
243.403	86.17	
243.618	98.87	
243.833	72.86	
